word_ngram_hi,word_min_df,char_lo,char_hi,char_min_df,sublinear,C,loss,class_weight,cv_macro_f1,cv_std
3,1,2,6,3,False,4.4321841874023535,squared_hinge,balanced,0.9324,0.0588
3,1,2,6,3,False,4.916675800065837,squared_hinge,balanced,0.9324,0.0588
3,1,2,6,3,False,3.9085881463386194,squared_hinge,balanced,0.9324,0.0588
3,1,2,6,3,False,19.285569202449306,squared_hinge,balanced,0.9322,0.0588
3,1,2,6,3,True,4.187960255561971,hinge,balanced,0.9322,0.0588
3,1,2,6,3,False,1.8325252086680106,hinge,,0.9322,0.0588
3,1,2,6,3,False,1.6725030625740258,squared_hinge,balanced,0.9318,0.0594
2,1,2,5,3,False,24.342571274900443,squared_hinge,balanced,0.9315,0.059
2,1,2,5,3,False,21.116943423638098,squared_hinge,balanced,0.9315,0.059
2,1,2,5,3,False,24.49009424065883,squared_hinge,balanced,0.9315,0.059
2,1,2,5,3,False,29.220794222970135,squared_hinge,balanced,0.9315,0.059
2,1,2,5,3,False,19.626764159914536,squared_hinge,balanced,0.9315,0.059
2,1,2,5,3,False,28.13666098630682,squared_hinge,balanced,0.9315,0.059
2,1,2,5,3,False,17.642592460386528,squared_hinge,balanced,0.9315,0.059
3,1,2,6,3,False,1.2658913222551775,squared_hinge,balanced,0.9301,0.0613
2,1,2,5,3,False,4.70554001412474,squared_hinge,balanced,0.9299,0.0613
2,1,2,5,3,False,7.270219916400603,squared_hinge,balanced,0.9292,0.0614
2,1,2,5,3,False,6.248484109672718,squared_hinge,balanced,0.9292,0.0614
2,1,2,5,3,False,12.035414193374693,squared_hinge,balanced,0.9292,0.0614
2,1,2,4,3,False,15.535146882016955,squared_hinge,balanced,0.9291,0.0615
3,1,2,6,3,False,0.7441334320103918,squared_hinge,,0.9255,0.0612
3,1,2,6,2,False,2.9428711250843183,squared_hinge,balanced,0.9239,0.0567
1,1,2,5,3,False,13.088678016268894,squared_hinge,balanced,0.9237,0.0566
1,1,2,4,3,False,26.74758362671259,squared_hinge,balanced,0.9237,0.0566
3,1,3,5,3,False,8.015152600270625,squared_hinge,balanced,0.9217,0.0583
3,1,2,6,1,True,5.645764898547841,squared_hinge,balanced,0.9177,0.0579
1,1,2,4,1,True,12.191397988678407,hinge,balanced,0.917,0.0585
3,1,3,6,2,False,2.3474815392265644,squared_hinge,,0.9153,0.0534
3,3,2,6,1,False,0.5515886880017014,squared_hinge,,0.9152,0.0603
1,2,3,4,1,True,0.12460718391310947,hinge,balanced,0.9142,0.033
1,2,2,4,2,True,9.752967121778646,hinge,,0.9108,0.0636
3,2,2,5,2,False,2.6799272212940433,hinge,,0.9101,0.0566
2,2,2,6,3,False,4.51714597138427,squared_hinge,balanced,0.9011,0.0648
3,3,3,5,2,False,2.6342245821624637,squared_hinge,,0.8995,0.0787
2,2,2,5,2,True,0.34258517644451564,squared_hinge,balanced,0.8956,0.0456
3,2,3,6,2,False,1.661436697721444,squared_hinge,,0.8918,0.0574
2,2,2,6,3,False,0.8967872849328199,hinge,,0.8884,0.0511
1,3,3,6,2,True,0.16461512914651993,hinge,balanced,0.8718,0.0569
3,3,3,6,3,False,3.2940441955957978,squared_hinge,balanced,0.8581,0.0891
2,2,3,4,2,True,0.06673585523046242,squared_hinge,balanced,0.8476,0.0578
