id,gt,pred_base,pred_patch,tag,fixed_by_patch
2,436.2,411.5,436.19,gst_two_column,True
4,38.9,2.2,2.2,wrong_amount,False
5,7.3,6.89,6.89,wrong_amount,False
6,6.35,6.0,6.36,gst_two_column,False
7,7.95,7.5,7.95,gst_two_column,True
9,278.8,155.66,155.66,multiline_total,False
10,169.8,169.78,169.78,wrong_amount,False
11,1.0,23.03,23.03,wrong_amount,False
12,278.8,155.66,155.66,multiline_total,False
15,27.35,25.8,27.35,gst_two_column,True
16,127.2,120.0,127.2,gst_two_column,True
17,1.05,1.0,1.06,gst_two_column,False
19,31.9,30.68,31.9,gst_two_column,True
23,49.7,46.9,49.7,gst_two_column,True
26,72.0,67.92,72.0,gst_two_column,True
41,5.05,10.0,10.0,multiline_total,False
52,12.25,11.55,12.25,gst_two_column,True
54,7.95,10.0,10.0,multiline_total,False
55,13.4,6.0,6.0,tax_or_round,False
63,100.17,94.5,100.17,gst_two_column,True
64,190.8,180.0,190.8,gst_two_column,True
65,67.85,64.0,67.84,gst_two_column,True
66,72.08,68.0,72.08,gst_two_column,True
67,89.04,84.0,89.04,gst_two_column,True
68,94.34,89.0,94.34,gst_two_column,True
69,10.6,10.0,10.6,gst_two_column,True
70,11.13,10.5,11.13,gst_two_column,True
71,36.04,34.0,36.04,gst_two_column,True
72,101.76,96.0,101.76,gst_two_column,True
73,22.26,21.0,22.26,gst_two_column,True
74,94.13,88.8,94.13,gst_two_column,True
75,7.42,0.02,0.02,tax_or_round,False
76,7.42,0.02,0.02,tax_or_round,False
77,38.15,36.0,38.16,gst_two_column,True
78,94.6,89.26,94.62,tax_or_round,False
79,48.0,45.28,48.0,gst_two_column,True
86,18.7,17.64,18.7,gst_two_column,True
94,34.8,8.5,9.01,multiline_total,False
96,8.5,0.48,0.48,wrong_amount,False
97,8.2,7.74,8.2,gst_two_column,True
98,68.9,65.0,68.9,gst_two_column,True
99,144.16,136.0,144.16,gst_two_column,True
