arm,round,n_labeled,macro_f1_all,hard_acc,indist_acc,batch_hard_frac
active,0,81,0.5116,0.5211,0.5753,0.156
active,1,113,0.5798,0.5352,0.726,0.219
active,2,145,0.6985,0.5775,0.863,0.625
active,3,177,0.7806,0.6761,0.9315,0.469
active,4,209,0.8531,0.7887,0.9589,0.75
active,5,241,0.8908,0.8592,0.9726,0.594
active,6,273,0.9008,0.8873,0.9726,
random,0,81,0.5116,0.5211,0.5753,0.312
random,1,113,0.6252,0.5352,0.7397,0.281
random,2,145,0.65,0.5211,0.863,0.219
random,3,177,0.7097,0.5493,0.9178,0.344
random,4,209,0.7428,0.6056,0.9315,0.188
random,5,241,0.7539,0.6056,0.9726,0.219
random,6,273,0.7448,0.6056,0.9589,
