track,variant,metric,value,note
ocr,gold_text,amount_acc,0.7167,calibrated OCR-noise model (simulated)
ocr,gold_text,date_acc,0.8333,calibrated OCR-noise model (simulated)
ocr,gold_text,merchant_acc,0.7167,calibrated OCR-noise model (simulated)
ocr,clean_scan,amount_acc,0.65,calibrated OCR-noise model (simulated)
ocr,clean_scan,date_acc,0.7333,calibrated OCR-noise model (simulated)
ocr,clean_scan,merchant_acc,0.7167,calibrated OCR-noise model (simulated)
ocr,phone_photo,amount_acc,0.5833,calibrated OCR-noise model (simulated)
ocr,phone_photo,date_acc,0.45,calibrated OCR-noise model (simulated)
ocr,phone_photo,merchant_acc,0.5,calibrated OCR-noise model (simulated)
ocr,faded,amount_acc,0.3333,calibrated OCR-noise model (simulated)
ocr,faded,date_acc,0.3333,calibrated OCR-noise model (simulated)
ocr,faded,merchant_acc,0.3833,calibrated OCR-noise model (simulated)
ocr,rotated,amount_acc,0.35,calibrated OCR-noise model (simulated)
ocr,rotated,date_acc,0.2167,calibrated OCR-noise model (simulated)
ocr,rotated,merchant_acc,0.2667,calibrated OCR-noise model (simulated)
active_learning,seed_only,hard_acc,0.5211,n=81
active_learning,active_final,hard_acc,0.8873,n=273
active_learning,random_final,hard_acc,0.6056,n=273
active_learning,active_final,macro_f1_all,0.9008,
active_learning,random_final,macro_f1_all,0.7448,
active_learning,active,mean_batch_hard_frac,0.469,uncertainty pulls hard rows
active_learning,random,mean_batch_hard_frac,0.261,baseline
rag,grounded_parser,slot_accuracy,1.0,n=22
rag,grounded_parser,answer_acc_true_labels,1.0,
rag,grounded_parser,answer_acc_categorizer_labels,0.773,bounded by categorizer F1
rag,grounded_parser,grounding_rate,1.0,0% hallucination — every answer cites real rows
multilingual,baseline,amount_acc,0.833,n=12 non-english
multilingual,baseline,date_acc,0.583,n=12 non-english
multilingual,baseline,merchant_acc,0.917,n=12 non-english
multilingual,+gazetteer,amount_acc,1.0,n=12 non-english
multilingual,+gazetteer,date_acc,1.0,n=12 non-english
multilingual,+gazetteer,merchant_acc,0.917,n=12 non-english
multilingual,gazetteer_english_regression,tokens_fired_on_english,0,0 = safe to ship
